Reference #,Title,Agency,Contract Value
PROMSA25176,Door widening for disability access - Glencoe Primary School,Programmed Facility Management,"$ 123,096.00 "
PROMSA25162,Alterations & Additions - Falcon VFRS,Programmed Facility Management,"$ 1,307,091.00 "
PSC1052CM,Online Survey Platform,Public Sector Commission,"$ 1,385,439.00 "
PTA250074,Australind Railcar Vacuum Waste Extraction System - Picton Yard,Public Transport Authority,"$ 401,469.00 "
PTA250031,Service Desk and 2nd Level Support of Digital Line Systems and Microwave Radio Systems,Public Transport Authority,"$ 476,230.00 "
DBCA752GT1122025,Heavy Duty Tip Trucks,"Department of Biodiversity, Conservation and Attractions","$ 1,956,004.00 "
ED252549,Electricity - Honeywood Primary School (CUAELC2012),Department of Education,"$ 95,517.00 "
ED252531,France & UK Dance Tour for John Curtin College of the Arts,Department of Education,"$ 212,475.00 "
ED252497,2026 Hockey Tour (Flights) for Shenton College,Department of Education,"$ 88,216.00 "
DEED2526030,International Remuneration Framework,Department of Energy and Economic Diversification,"$ 81,840.00 "
DFES248325,Business Analyst for Workforce Management Services,Department of Fire and Emergency Services,"$ 111,540.00 "
DoH202514759,Provision of WA Sexual Health and Blood-Borne Virus Applied Research and Evaluation Network (SiREN) Project Management and Support Services,Department of Health (Royal Street),"$ 1,225,755.00 "
DHW0441125,Main Roads Western Australia - 36 Bayman Street Port Hedland - Demolition Works,Department of Housing and Works,"$ 197,857.00 "
LGIRS25480,Management Consulting Services,"Department of Local Government, Industry Regulation and Safety","$ 185,625.00 "
DPLH407325,Engagement of Change Management Support Officer under CUATPS2024,"Department of Planning, Lands and Heritage","$ 66,217.00 "
DPIRD2025278,"HVAC Interim Plan, Hillarys. Installation of Portable A/Cs",Department of Primary Industries and Regional Development,"$ 171,919.00 "
PO1000371,Floor carpet refresh,"Department of the Registrar, WA Industrial Relations Commission","$ 109,971.00 "
TWDTR05062024,Learning Management System,Department of Training and Workforce Development (DTWD),"$ 8,502,000.00 "
DTMI421025,Privileged Access Management Implementation,Department of Transport and Major Infrastructure,"$ 253,000.00 "
EMHS202515573,Equipment and Asset Condition Assessment Audit,East Metropolitan Health Service,"$ 77,657.00 "
JN2351562,LG01382023 CUMV Shire of Broome,Landgate,"$ 2,750.00 "
LW25194,Technical Assurance Services - Gaming System Replacement Project,Lotterywest,"$ 725,200.00 "
PROMSA25121,Woodlands Primary - Electrical Upgrade Roofing Program,Programmed Facility Management,"$ 213,126.00 "
PTA250067,Maintenance Agreement for PTA Railcar Video Surveillance System Equipment and Software,Public Transport Authority,"$ 517,862.00 "
PTA250020,Provision of the Collie Regional Town Bus Services,Public Transport Authority,"$ 2,031,565.00 "
M25002C,HBF Park Lounge and Gareth Naven HvAC Upgrade,VenuesWest,"$ 144,859.00 "
WAPOL00525,SUPPORT & MAINTENANCE OF POLICE ASSISTANCE CENTRE WORKFORCE MANAGEMENT PLATFORM,Western Australia Police Force,"$ 307,954.00 "
ED252342,Year 7 - 10 HASS Textbooks for Rockingham Senior High School,Department of Education,"$ 54,701.00 "
DFES247925,Executive Master of Public Administration Program,Department of Fire and Emergency Services,"$ 68,743.00 "
DHW0387225,Department of Education - Baldivis Primary School - Installation of 1x GLA Modular Classroom with Associated Deck and Ramp,Department of Housing and Works,"$ 138,038.00 "
DHW0338525A,Department of Health - Metropolitan Youth (Stirling) - Step Up Step Down (SUSD) Facility - Cost Management Services,Department of Housing and Works,"$ 201,909.00 "
DHW0338525,Department of Health - Metropolitan Youth Step Up Step Down Facility - Architectural Services,Department of Housing and Works,"$ 682,383.00 "
DPLHPE013809,Provision of Executive Leadership Coaching,"Department of Planning, Lands and Heritage","$ 56,609.00 "
TWDT05092024,Provision of Homestay and Airport Pickup Services for International Students studying within the Western Australian TAFE Colleges and Western Australian Government Schools,Department of Training and Workforce Development (DTWD),"$ 7,092,581.00 "
TWDE05682025,Subscription to uWorkin Talent Community Platform (Job Matching Software Application),Department of Training and Workforce Development (DTWD),"$ 373,945.00 "
DOT419625,"Design, Development and Ongoing Support for OMID Website",Department of Transport and Major Infrastructure,"$ 468,763.00 "
DOT416025,Provision of ICT Research and Advisory Services,Department of Transport and Major Infrastructure,"$ 1,299,368.00 "
CUARWD2025,Recycling and Waste Redirection Services Common Use Arrangement (CUA),Department of Treasury and Finance,"$ 195,000,000.00 "
LW24007,Lottery Gaming Solution and Digital Solution,Lotterywest,"$ 332,700,000.00 "
MRWA0197180144,Construction of South Western Highway H009 Seal Shoulders on Existing Formation SLK 408.61 – 431.13 - Great Southern Region,Main Roads Western Australia,"$ 3,684,829.00 "
MW24119Fibre,Fibre Upgrade for Fire Panels – QEII,North Metropolitan Health Service,"$ 62,014.00 "
NMTAFEP2025033,Provision of Cloud-Based Backup and Disaster Recovery Services for North Metropolitan TAFE,North Metropolitan TAFE,"$ 107,170.00 "
PWST202515034,Provision of Electrical Supply Upgrade for Osborne Park Hospital D Block Laboratory Replacement,PathWest Laboratory Medicine WA,"$ 267,801.00 "
PWST202411687,Transport and Storage of Deceased Persons,PathWest Laboratory Medicine WA,"$ 4,520,000.00 "
PROMSA25124,Early Childhood Playground Upgrade - Meadow Springs South Primary School,Programmed Facility Management,"$ 334,011.00 "
WAPOL07025,CCTV Headend and Camera Replacement - Fremantle Detectives,Western Australia Police Force,"$ 43,602.00 "
DBCA409WQ1232025,Installation and Service Connection to DBCA Depot Accommodation Units.,"Department of Biodiversity, Conservation and Attractions","$ 247,493.00 "
DBCA409WQ1092025,Molly Springs Day Use Track Upgrade,"Department of Biodiversity, Conservation and Attractions","$ 179,000.00 "
DOC202463991,WA Behaviour Support Practioner Services,Department of Communities,"$ 3,200,000.00 "
ED252431,2026 Shenton College Europe Hockey Tour,Department of Education,"$ 162,178.00 "
ED252110,Electricity - Moorditj Noongar Community College (CUAELC2012),Department of Education,"$ 72,165.00 "
ED250328,Consultancy and Coaching Services to facilitate a design thinking process for the Department of Education,Department of Education,"$ 198,990.00 "
ED250148,Supply and Delivery of One (1) New Bus for Rockingham Senior High School Education Support Centre,Department of Education,"$ 203,077.00 "
DoH202615360,ASHM Health Workforce Development,Department of Health (Royal Street),"$ 265,452.00 "
DHW0596824,Department of Education - Koorana Primary School - Education Support Centre - Occupational Safety and Health Consultant Panel,Department of Housing and Works,"$ 5,020.00 "
DHW0529223,Department of Education - Wanneroo Secondary College - Education Support Center - Occupational Safety and Health Consultancy Services Panel,Department of Housing and Works,"$ 3,331.00 "
DHW0508925,Department of Justice - Broome Regional Prison - Multi Purpose Cell2 A - C Replacement,Department of Housing and Works,"$ 33,000.00 "
DHW0384925,Department of Education - Caladenia Primary School - Relocation of 1 x GLA Transportable Classroom including associated works,Department of Housing and Works,"$ 161,525.00 "
DHW0384825,Department of Education - Burns Beach Primary School - Refurbishment and Installation of 2 x GLA Transportable Classrooms including associated works,Department of Housing and Works,"$ 356,490.00 "
DOT419325,DTMI Sustainability Strategy Materiality and Objectives Stakeholder Workshops,Department of Transport and Major Infrastructure,"$ 52,602.00 "
DOT416625,Initiation Services - Western Power,Department of Transport and Major Infrastructure,"$ 695,750.00 "
DOT415825,"Oracle Software Licenses, Support and Maintenance",Department of Transport and Major Infrastructure,"$ 4,895,507.00 "
DWER106224,Vasse-Busselton Flood Modelling and Drainage Study,Department of Water and Environmental Regulation,"$ 304,122.00 "
DWER100425,WA Climate Projection Viewer,Department of Water and Environmental Regulation,"$ 1,077,065.00 "
NMHS202515510,St Patrick’s Community Support Centre – Federation Funding Agreement 2025-2026,North Metropolitan Health Service,"$ 143,550.00 "
NRTAFE142025,Licence to Operate the Cafeteria at NR TAFE Karratha Campus,North Regional TAFE,$ 1.00 
PWST202515386,Supply and Installation of Oracle Hardware,PathWest Laboratory Medicine WA,"$ 632,975.00 "
PROPTA25036,"Beenyup Bus Depot - Storage Yard Hardstand, Comms and Electrical",Programmed Facility Management,"$ 173,888.00 "
PROMSA25131,Rosalie Primary School - Outdoor Upgrade – Shade Structure,Programmed Facility Management,"$ 215,440.00 "
SMHS202515467,Fremantle Hospital Day Admissions Centre (DAC) Lighting Replacement,South Metropolitan Health Service,"$ 80,224.00 "
SMHS202515446,Fremantle Hospital - B-block air handling unit (AHU) refresh and associated works,South Metropolitan Health Service,"$ 179,650.00 "
SMT2025259,SMT2025259 Veeam Software Maintenance Renewal 2026,South Metropolitan TAFE,"$ 216,543.00 "
WACHS202615425,Reticulated gas supply under Common Use Arrangement CUA RGS 2014 for Busselton Health Campus and Harvey Hospital,WA Country Health Service,"$ 324,988.00 "
DOC202548295,Provision of digitisation of paper and electronic records services,Department of Communities,"$ 111,272.00 "
FINW0553124,Department of Fire and Emergency Services - Boyup Brook VFRS - Appliance Bay Replacement and Associated Minor Works,Department of Housing and Works,"$ 943,998.00 "
DHW0622824,Department of Education - Cowaramup Primary School - Installation of 1x GLA Modular Classroom and 1x KPP Modular Classroom,Department of Housing and Works,"$ 500,485.00 "
DHW0432225,Department of Education - Rostrata Primary School - New Primary School Block - SIP - EC25 - Time Planning Services,Department of Housing and Works,"$ 37,520.00 "
DHW0387625,Department of Education - Woodland Grove Primary School - Installation of 1 X GLA classroom and 1 X KPP classroom,Department of Housing and Works,"$ 361,118.00 "
DHW0286325,"Department of Creative Industries, Tourism and Sport - WA Maritime Museum Partial ACP Replacement",Department of Housing and Works,"$ 1,548,695.00 "
DPIRD2025181,Supply Delivery Installation and Training of one (1) VS200 Microscope Slide Scanner,Department of Primary Industries and Regional Development,"$ 242,307.00 "
24093497002A,Armadale Health Service (AHS) Pedestrian Footpath Upgrade - Stage 1,East Metropolitan Health Service,"$ 175,840.00 "
HSS202515549,WA Health Data Platform (WAHDP) Program - Provision of Project Manager,Health Support Services,"$ 95,710.00 "
HSS202515517,"Provision of the SCGH ICU Pod West Project BoM - G Block, Level 4, Rooms 4.3.4 and 4.3.25",Health Support Services,"$ 159,198.00 "
HSS202515515,"Provision of the SCGH ED Refurbishment G Block, Ground Floor - Room G.19.2",Health Support Services,"$ 92,706.00 "
HSS202515514,"Provision of the SCGH ED refurbishment for G Block, Ground Floor – Room G.18.3",Health Support Services,"$ 92,706.00 "
MRWA016325,Provision of INX Software Licensing Agreement Renewal,Main Roads Western Australia,"$ 102,712.00 "
PROPTA25046,Multiple Escalator Waterproofing Works - Elizabeth Quay Bus Station,Programmed Facility Management,"$ 198,844.00 "
PROMSA25189,Plasterglass Ceiling Program - Kalamunda SHS,Programmed Facility Management,"$ 108,796.00 "
PTA251127,Capital Budget Officer,Public Transport Authority,"$ 88,000.00 "
SRT2025027,"Supply and Delivery of one (1) x Trailer Mounted Boom Lift for South Regional TAFE, Collie Workshop",South Regional TAFE,"$ 79,321.00 "
WAEC25005,Project Officer,Western Australian Electoral Commission,"$ 62,700.00 "
CAHS202514858,Burns & Oncology Garden Upgrade - Level 1 Rooftop Garden Demolition and Construction - Perth Children’s Hospital,Child and Adolescent Health Service,"$ 4,689,246.00 "
ED240368,ICT Research and Advisory Services,Department of Education,"$ 1,700,000.00 "
DHW0406525,Department of Education - Padbury Primary School - Installation of 1 GLA,Department of Housing and Works,"$ 152,905.00 "
DHW0384225,Department of Education - Riva Primary School - Installation of 2 x GLA Transportable Unit,Department of Housing and Works,"$ 299,045.00 "
DHW0333025A,Department of Education  - Warburton Remote Community School - Internal and External Painting,Department of Housing and Works,"$ 198,000.00 "
DPIRD2025087,Project Leader Tester Services,Department of Primary Industries and Regional Development,"$ 140,863.00 "
EOITWDV05522025,Western Australian Defence Industry Reskilling and Upskilling Grant Program - Round Two,Department of Training and Workforce Development (DTWD),"$ 685,000.00 "
MRWA013825,Renewal of SAS Software 2025,Main Roads Western Australia,"$ 66,998.00 "
PROPTA25040,Kalamunda Hardstand,Programmed Facility Management,"$ 558,826.00 "
PROPTA25039,"Workshop Bathroom, Locker, Lunchroom & Office Upgrade - Welshpool Bus Depot",Programmed Facility Management,"$ 71,369.00 "
PROMSA25182,Gas Heaters & Air Conditioning Works - East Wanneroo Primary School,Programmed Facility Management,"$ 129,651.00 "
PROMSA25155,Perimeter Fencing Works - Yuluma Primary School,Programmed Facility Management,"$ 197,877.00 "
PTA250076,PTA250076 Perth Stadium Station Facility Works - Construction,Public Transport Authority,"$ 236,617.00 "
PTA250039,Provision of a Web-based Stakeholder and Database Management Platform,Public Transport Authority,"$ 419,425.00 "
DBCARIAQ2324,Provision of Multipurpose Uniform,Rottnest Island Authority,"$ 307,275.00 "
SMT2025260,SMT2025260 Cisco Hardware Maintenance Renewal 2026,South Metropolitan TAFE,"$ 426,184.00 "
WAPOL04025,Herne Hill – Supply and Install 5 Horse Shelters,Western Australia Police Force,"$ 97,939.00 "
WAEC25003RFQ,Process Mapping Services,Western Australian Electoral Commission,"$ 132,000.00 "
2025649WAM,Panasonic Projectors,Western Australian Museum,"$ 454,464.00 "
CITSC2549,Network Administration Services 2025-2028,"Department of Creative Industries, Tourism and Sport","$ 1,097,297.00 "
ED252476,Electricity - Warriapendi Primary School (CUAELC2012),Department of Education,"$ 77,363.00 "
DFES231224,Provision of Personal Protective Equipment (PPE) and Consumables,Department of Fire and Emergency Services,"$ 1,250,000.00 "
DHW0616322A2,Western Australian Police Force - Warwick Police Station - Fit-Out,Department of Housing and Works,"$ 89,901.00 "
DHW0387425,Department of Education - Peel LDC  (Mandurah Primary School) - Installation of 1 x modular KPP classroom,Department of Housing and Works,"$ 286,865.00 "
DHW0100425G,Department of Education - 2025 Late year program - Construction of 5 Kindy Pre-Primary (KPP) Transportable Building,Department of Housing and Works,"$ 1,816,587.00 "
DHW0100425F,Department of Education - 2025 Late year program - Construction of 10 Toilet Block (TB) Transportable Building,Department of Housing and Works,"$ 1,813,451.00 "
DHW0100425E,Department of Education - 2025 Late year program - Construction of 10 Accessible Ambulant Toilet (AAT) Transportable Building,Department of Housing and Works,"$ 1,655,482.00 "
DHW0100425D,Department of Education - 2025 Late year program - Construction of 5 General Learning Area (GLA) Kitchenette Transportable Building,Department of Housing and Works,"$ 1,320,000.00 "
DHW0100425C,Department of Education - 2025 Late year program - Construction of 10 General Learning Area (GLA) Transportable Building,Department of Housing and Works,"$ 2,395,745.00 "
DHW0100425B,Department of Education - 2025 Late year program - Construction of 10 General Learning Area (GLA) Transportable Building,Department of Housing and Works,"$ 2,395,745.00 "
DHW0100425A,Department of Education - 2025 Late year program- Construction of 5 GLA - Construction of 5 General Learning Area (GLA) Transportable Building,Department of Housing and Works,"$ 1,197,873.00 "
DPLH406025,Enterprise Architecture Services,"Department of Planning, Lands and Heritage","$ 191,664.00 "
DPIRD2024205,Provision of Fish Illustration for Use in Communications,Department of Primary Industries and Regional Development,"$ 410,000.00 "
DPC2130,Tenable Vulnerability Management Services,Department of the Premier and Cabinet,"$ 3,960,000.00 "
DOT422522c039,Removal and Disposal of Vessel 69780 ‘Maid Marion II’,Department of Transport and Major Infrastructure,"$ 10,670.00 "
DOT415425,Maximo Asset Management Software Licensing,Department of Transport and Major Infrastructure,"$ 353,100.00 "
MCB20252608,Construction - Replacement of Existing Tiled Roof with Colourbond Admin & HR building at Karrakatta Cemetery,Metropolitan Cemeteries Board,"$ 387,000.00 "
PROMSA25177,Supply & Install New Reverse Cycle Air Conditioners - North Woodvale Primary School,Programmed Facility Management,"$ 135,078.00 "
PROMSA25156,Block 9 First Floor Classroom Upgrades - SM TAFE Thornlie Campus,Programmed Facility Management,"$ 213,383.00 "
SMHS202515518,Older Adult Community Integrated Care Stage Two Fitout,South Metropolitan Health Service,"$ 152,033.00 "
DBCA411ST1842024,Feral Animal Control - Warren Region,"Department of Biodiversity, Conservation and Attractions","$ 500,000.00 "
ED252364,2026 Hass Canberra/ Sydney Tour for Perth Modern School,Department of Education,"$ 139,800.00 "
ED251959,Project Manager Services for the Building Condition Assessment Program (CUATPS2024),Department of Education,"$ 297,000.00 "
DFESPOREQ0006724,Claims Officer,Department of Fire and Emergency Services,"$ 77,000.00 "
SMHS202515178,SMHS - Cloud Migration Services,Department of Housing and Works,$ 1.00 
FINW0601324F,Department of Communities - Halls Creek Group Home - Office Conversion Stage 2 - Furniture Supply and Delivery,Department of Housing and Works,"$ 76,955.00 "
DHW0500325,Department of Education - Broome Residential College - Commercial Dryer Replacement,Department of Housing and Works,"$ 25,664.00 "
DHW0485525,Department of Education - Landsdale Primary School -  Closed Assembly Area - SIP - EC25 - Architectural Services,Department of Housing and Works,"$ 168,984.00 "
DHW0213625,Department of Education - Cannington Community College - Removal and Relocation of 2 x GLA Transportable Classrooms from Duncraig Senior high School to  Cannington Community College,Department of Housing and Works,"$ 398,886.00 "
DOJ202433427,Offender Digital Services Platform,Department of Justice,"$ 81,400,000.00 "
DTMI420525,Migration of M365 data,Department of Transport and Major Infrastructure,"$ 231,715.00 "
DOT419725,Removal and disposal of vessel AE148 'Gypsy 2',Department of Transport and Major Infrastructure,"$ 15,620.00 "
DOT416825,Provision of ongoing PCI DSS Annual Assessment and Support,Department of Transport and Major Infrastructure,"$ 304,882.00 "
DOT413425,Marine Civil and Infrastructure Engineering Advisory,Department of Transport and Major Infrastructure,"$ 250,000.00 "
DOT404425,"Request for the Supply and Servicing of Outboard Motors, including Minor Repairs to Vessels and Equipment for the Maritime Business Unit",Department of Transport and Major Infrastructure,"$ 1,232,397.00 "
EMHS202515323,Theatre Medical Gas Boom Repairs at Royal Perth Hospital (RPH),East Metropolitan Health Service,"$ 254,178.00 "
EMHS202514447,Provision of Software Licenses and Associated Support Services for the ICU EMR Solution for NMHS and CAHS,East Metropolitan Health Service,"$ 3,500,000.00 "
MRWA0349240280,Provision of Temporary Personnel - RMO - Construction & Maintenance Operations - Estimator Support,Main Roads Western Australia,"$ 106,948.00 "
MRWA0349240274,Provision of Temporary Personnel - OMTID - Business Services - Project Officer Support,Main Roads Western Australia,"$ 72,106.00 "
MRWA0349240241,Provision of Temporary Personnel - Regional Management Operations - Maintenance - Technical Traffic Management Officer,Main Roads Western Australia,"$ 64,903.00 "
MRWA004925,Provision of Real Time Operating Platform ITS Back-end Developer Services,Main Roads Western Australia,"$ 248,710.00 "
MHC2025010,Five Residential Treatment Beds for Adult Men with a Mental Health Diagnosis and Co-occurring Alcohol and Drug Issues Incorporating a Peer Support Program,Mental Health Commission,"$ 4,133,300.00 "
DBCARIAQ8725,New Years Eve Family Fireworks 2025-2028,Rottnest Island Authority,"$ 272,433.00 "
ED251587,Supply and Delivery of one (1) New Bus to Canning Vale College – 25 (approximately) Passenger Seats,Department of Education,"$ 200,643.00 "
ED240093,Panel of Registered Training Organisations (RTOs) for the delivery of Certificate Courses to Secondary Students in the Southwest Education Region,Department of Education,"$ 3,580,000.00 "
