filename,caption
144277PD.jpg,"144277PD Pensioner Barracks before demolition, 1966."
145664PD.jpg,"145664PD Shoppers and pedestrians on Hay Street, Perth, Western Australia, ca. 1970."
145673PD.jpg,"145673PD Front exterior of the Perth Railway Station, with ticket booths and possibly entrance to dining rooms, ca. 1960."
147343PD.jpg,"147343PD Fruit and vegetable stalls at Fremantle Markets, ca.1985"
1884B:8.jpg,"1884B/8 A letter from home. A posed scene with the photographer E.W. Henderson taking the part of the prospector, 1896"
216382PD.jpg,"216382PD Subiaco Post Office with 'The Vic' across road in background, c1989"
217745PD.jpg,"217745PD Fremantle Port at work, ca. 1965"
217953PD.jpg,"217953PD New mill at Mornington, 1938"
222008PD.jpg,"222008PD Hay Street, 1965-1969?"
222217PD.jpg,"222217PD Art Gallery of Western Australia, July 1979"
223001PD.jpg,"223001PD Murray Street, 1965-1969?"
226429PD.jpg,"226429PD Cameron Highlanders marching, 1937"
227288PD.jpg,"227288PD Karrinyup Shopping Centre, 1974"
231063PD.jpg,231063PD State Ship Koolama at Broome Jetty
231073PD.jpg,231073PD Site of the proposed new town of Kununurra
231125PD.jpg,231125PD Cotton picker and truck being loaded 1962
234651PD.jpg,234651PD Poster explaining naming of lion cubs June and Herman at the Perth Zoo 1950
242585PD.jpg,"242585PD Stan Cassidy with his horse whim, Lewis and Reid No. 2 Mill, near Allanson, Western Australia, ca. 1920."
255B:9.jpg,"255B/9 Pearl diver entering the water from a lugger, Broome, ca. 1925."
271037PD.jpg,271037PD Christmas decorations in Murray Street Perth 1955-1960
2951B:3:63.jpg,"2951B/3/63 Cottesloe Beach, February 1934"
300475PD.jpg,"300475PD Le Souef family car being packed or unpacked at Quobba Station, Western Australia, 1956."
319500PD.jpg,"319500PD Microfilm readers. J.S. Battye Library of West Australian History and State Archives, 1969"
323289PD.jpg,"323289PD A typewriter (foreground) and telephonists at the message answering service UTAS Communications Centre, 17 Harvest Terrace, West Perth, 12 September 1984"
323344PD.jpg,"323344PD Carillon Centre, Perth, 11 October 1984"
323415PD.jpg,"323415PD Christmas decorations, intersection of William and Murray Streets, Perth, 20 November 1984. Looking south down William Street"
323417PD.jpg,"323417PD Christmas decorations, Barrack Street, Perth 20 November 1984"
326801PD.jpg,"326801PD Construction of the Tom Price - Paraburdoo Railway for Hamersley Iron, January 1972"
327591PD.jpg,"327591PD Inaugural events at the Perth Entertainment Centre, 3 December 1974"
331131PD.jpg,"331131PD Victoria Street, Bunbury, May 1970"
332291PD.jpg,"332291PD Computer 88, May 5-7 1988, Perth Entertainment Centre"
346326PD.jpg,346326PD Kentucky Fried Chicken Cannington 1971
369234PD.jpg,"369234PD Producer's desk with a view to the newsreader in the studio at Sky Channel studios, Hayes Avenue, Tuart Hill, 27 August 1986"
371703PD.jpg,"371703PD Night club at the Orchard Hotel, Perth, 17 December 1984"
371945PD.jpg,"371945PD Greater Union Innaloo Megaplex, 3 April 1998"
371964PD.jpg,"371964PD The lobby and the Candy Bar at Greater Union cinemas at the Galleria, Morley, 6 October 1998"
384762PD.jpg,"384762PD Bronzewing gold mine, 17 August 1997 - Located 83km north-east of Leinster."
3881B:27A.jpg,"3881B/27A Wellington Street and Perth Railway Station looking west, 1902"
389169PD.jpg,"389169PD Lobby of the Sheraton Hotel, Perth, 19 May 1982"
389386PD.jpg,"389386PD The dolphin show at Atlantis Marine Park, Two Rocks, 31 January 1984"
389424PD.jpg,"389424PD Agnew Mine, Leinster, 24 February 1984"
389634PD.jpg,"389634PD His Majesty's Theatre, Perth, 10 September 1984"
389905PD.jpg,"389905PD Atrium of the Carillon Arcade, Perth, 26 September 1985"
389906PD.jpg,"389906PD Atrium of the Carillon Arcade, Perth, 26 September 1985"
390043PD.jpg,"390043PD Chicken Treat fast food restaurant, 484 Stirling Highway, Cottesloe, 6 June 1986"
390044PD.jpg,"390044PD Chicken Treat fast food restaurant and Village Fruit Supply at the Doric Street Shopping Centre, Scarborough, 6 June 1986"
390046PD.jpg,"390046PD Hungry Jack's fast food restaurant, 323 Stirling Highway, Claremont, 6 June 1986"
390063PD.jpg,"390063PD East Perth Rail Terminal platform, 16 June 1986"
390347PD.jpg,"390347PD Inntown Hotel, 70 Pier Street, Perth, 16 February 1988"
390352PD.jpg,"390352PD Entrance to Hoyts Cinema City, corner Hay and Barrack Streets, Perth, 29 February 1988"
390477PD.jpg,"390477PD Taking a bicycle onto a Transperth train at Armadale Train Station, 21 October 1988"
390489PD.jpg,"390489PD Commuters wait on the Perth Railway Station platform, 21 October 1988"
391154PD.jpg,"391154PD View down from the first floor of Karrinyup Shopping Centre, 7 August 1998 Galeforce Photography"
4255B:7.jpg,"4255B/7 Pearl luggers on the water, Broome, ca. 1925."
4336B:123.jpg,"4336B/123 Group Settlers at a picnic, possibly at William Bay, Western Australia, 1926?"
4336B:72.jpg,"4336B/72 Man with two children, one riding a horse, possibly Group Settlers, Denmark Region, Western Australia, ca. 1925."
4689B:210.jpg,"4689B/210 Official opening of the Perth General Post Office and Forrest Place, 26 September 1923"
BA2186.jpg,"BA2186 Murray St, Perth in early 1920"
BA2186:25.jpg,"BA2186/25 Photographs and water colours by Frederick Flood, Perth street scene 1930s"
BA2217:43.jpg,"BA2217/43 Regal Theatre, corner of Rokeby Road and Hay Street, Subiaco, Western Australia, ca. 1938."
BA2271:39.jpg,"BA2271/39 Boating in the flooded creek after rain - Oma, Else and Kathe."
BA2817:1915.jpg,"BA2817/1915 Blasting at Pannawonica Mine, 1 July 1992"
BA318:96:189.jpg,"BA318/96/189 Unloading donkeys from the mission schooner W.S. Rolland at Kunmunya Mission, ca.1920"
BA3491:39.jpg,"BA3491/39 Cumming family members in a buggy at Yalkyn, ca.1910. Kate Cumming seated front right"
BA421:25.jpg,"BA421/25 Armistice Day celebrations in Hay Street, Perth, 11 November 1918"
BA533:215.jpg,BA533/215 Perth City Baths
BA867:12.jpg,"BA867/12 War brides arriving at Fremantle on the Osterley, 29 June 1919"
XG(II)53bb.jpg,XG(II)53bb Electra
